Source,Type,Target,Weight
frontin,Undirected,lisette,9
frontin,Undirected,lourdis,10
frontin,Undirected,madame-lourdis,4
frontin,Undirected,valere,11
frontin,Undirected,finot-fils,7
frontin,Undirected,angelique,2
frontin,Undirected,madame-finot,4
frontin,Undirected,bonne-foi,1
lisette,Undirected,lourdis,8
lisette,Undirected,madame-lourdis,4
lisette,Undirected,valere,7
lisette,Undirected,finot-fils,6
lisette,Undirected,madame-finot,4
lisette,Undirected,angelique,3
lisette,Undirected,bonne-foi,1
lourdis,Undirected,madame-lourdis,5
lourdis,Undirected,valere,9
lourdis,Undirected,finot-fils,8
lourdis,Undirected,madame-finot,5
lourdis,Undirected,angelique,3
lourdis,Undirected,bonne-foi,1
madame-lourdis,Undirected,valere,4
madame-lourdis,Undirected,finot-fils,4
madame-lourdis,Undirected,madame-finot,3
madame-lourdis,Undirected,angelique,2
madame-lourdis,Undirected,bonne-foi,1
valere,Undirected,finot-fils,7
valere,Undirected,angelique,2
valere,Undirected,madame-finot,4
valere,Undirected,bonne-foi,1
finot-fils,Undirected,madame-finot,5
finot-fils,Undirected,angelique,3
finot-fils,Undirected,bonne-foi,1
madame-finot,Undirected,angelique,2
madame-finot,Undirected,bonne-foi,1
